Feature,Importance
cat__Connection_Date_2022-08-16 00:00:00,2.5388037223581658e-09
cat__Substation_ROME 762,2.5042708787146567e-09
cat__Division_001 - Buffalo,2.4617790438582616e-09
cat__County_Madison,2.43239280526236e-09
cat__City_Walworth,2.4250769372065375e-09
cat__Division_008 - Dunkirk/Fredoni,2.4194202390864784e-09
cat__City_SLINGERLANDS,2.369545952789838e-09
cat__City_Plattsburgh,2.35050147190902e-09
cat__City_Riverhead,2.3462705581474993e-09
cat__City_Macedon,2.3386646041253674e-09
num__Storage_kWac,2.2882873147792883e-09
"cat__Developer_Atlus Power, LLC",2.2823472515064465e-09
cat__County_Putnam,2.2367963158168704e-09
cat__Connection_Date_2017-10-30 00:00:00,2.2185126428464768e-09
cat__City_Warwick,2.2049950600945443e-09
cat__Substation_NYS-LIMESTONE 470,2.1524636520313225e-09
cat__Connection_Date_2023-06-30 00:00:00,2.1429867226184776e-09
cat__Connection_Date_2016-01-28 00:00:00,2.0966168294606876e-09
"cat__Developer_Carrie Cosentino (Solar Liberty Energy Systems, In",2.0930187998842033e-09
cat__Circuit_ID_9W69,2.0422607002630593e-09
cat__Developer_Distributed Solar Development,2.023362319418182e-09
cat__Circuit_ID_5206530,2.015573127199455e-09
cat__Substation_VOORHEESVILLE 178,2.0144470109923317e-09
cat__Substation_8ED,2.0105806502166747e-09
cat__City_Nichols,1.999031623925319e-09
cat__Connection_Date_2017-12-29 00:00:00,1.994349757678197e-09
cat__Circuit_ID_Rotterdam to General Electric 14,1.987892638232844e-09
cat__Substation_0070RO5236-1694 Manitou RD,1.9848284266505876e-09
cat__Developer_General Electric,1.948362124542446e-09
cat__Substation_Fresh_Kills,1.942018354197037e-09
cat__Circuit_ID_1501370,1.911093002146126e-09
cat__Circuit_ID_36_30_17852,1.888257150202864e-09
cat__Circuit_ID_8RR927,1.8748441016952307e-09
cat__Substation_HARBORFRONT 212,1.8708335967326438e-09
cat__Substation_NYS-KATTLEVILLE 422,1.859398906505579e-09
cat__City_Patterson,1.8591066128443085e-09
cat__City_Brooklyn,1.845082090512476e-09
cat__Substation_0126RO5226-2097 Ridgeway RD,1.809435520621959e-09
cat__Circuit_ID_8W18,1.8051426105513691e-09
cat__County_Erie,1.7914887579026412e-09
cat__Substation_Pleasantville,1.7910673640376927e-09
cat__Developer_Safari Energy,1.78306062920816e-09
cat__Circuit_ID_7012,1.7391814762322578e-09
cat__Substation_PALOMA 254,1.7116519933075623e-09
cat__City_Purchase,1.6933587732733478e-09
cat__City_West Harrison,1.6873456202728572e-09
cat__City_Montgomery,1.6751539366271228e-09
cat__Circuit_ID_9A764,1.6693738096424417e-09
cat__Substation_Shoemaker,1.6248757183395247e-09
cat__Developer_Wendy DeWolf (East Light Partners),1.6158852190470061e-09
cat__Circuit_ID_5303794,1.6090534222607372e-09
cat__Division_Lancaster,1.5542771314367556e-09
cat__Division_013 - Watertown,1.552430360006491e-09
"cat__Developer_GSPP Sentinel Heights Road, LLC",1.534885056717962e-09
cat__Circuit_ID_8G974,1.5314198100585336e-09
cat__Developer_GenPro Energy Solutions,1.5301819023044588e-09
cat__City_HUDSON,1.5200650404448692e-09
cat__Circuit_ID_7054,1.517213354558226e-09
cat__Connection_Date_2020-12-29 00:00:00,1.5164159650715438e-09
cat__Circuit_ID_33R04,1.515640709393212e-09
cat__County_Livingston,1.5143257912443906e-09
cat__Substation_NYS-HAVILAND HOLLOW 426,1.5004602624016576e-09
cat__Division_028 - Ogdensburg,1.4986481872994877e-09
"cat__Developer_Robert Jendrysek (Solar Liberty Energy Systems, In",1.4969849523803345e-09
cat__Circuit_ID_23-1-13,1.4488856580101883e-09
cat__Developer_Michael McNeley (Kearsarge Solar LLC),1.4438148160158606e-09
cat__City_Middlesex,1.4277970245499313e-09
"cat__Developer_Distributed Solar Projects, LLC",1.4269810050062262e-09
cat__City_Callicoon,1.4075655968941099e-09
cat__Developer_Solar Liberty Energy Systems LLC,1.4064277425572975e-09
cat__Circuit_ID_6055,1.4049851588041852e-09
cat__Connection_Date_2017-01-25 00:00:00,1.4041039292112908e-09
cat__City_West Nyack,1.3850046594551437e-09
cat__County_Greene,1.3846416497341518e-09
cat__City_Constable,1.3813922799580369e-09
cat__City_AMSTERDAM,1.3757966970837366e-09
cat__City_FREDONIA,1.3549879539236728e-09
cat__Connection_Date_2022-04-29 00:00:00,1.3461522303427747e-09
cat__Substation_VAIL MILLS 392,1.3216816795234194e-09
cat__Substation_NYS-SOUTH LANSING TAP 522,1.3215438175370493e-09
cat__City_Red Hook,1.3142122488455835e-09
cat__Connection_Date_2018-12-13 00:00:00,1.3115002519527165e-09
cat__Developer_AES Distributed Energy,1.3108603483766242e-09
cat__Substation_SELKIRK 149,1.3032298824519126e-09
cat__Circuit_ID_36_01_21257,1.3002751655652136e-09
cat__County_Tompkins,1.2894555080835237e-09
cat__Connection_Date_2021-01-28 00:00:00,1.2864570336567324e-09
cat__Substation_NYS-CHATEAUGAY 513,1.27416870187305e-09
cat__Connection_Date_2014-09-29 00:00:00,1.2695544980883647e-09
cat__Connection_Date_2017-09-27 00:00:00,1.2499154234909514e-09
cat__Circuit_ID_36_33_45451,1.2393329253256763e-09
cat__Connection_Date_2022-10-28 00:00:00,1.2368545645241218e-09
cat__Developer_Tesla,1.234033765906545e-09
cat__Developer_RER Energy Group,1.2314945018428904e-09
cat__County_Albany,1.2298508048563762e-09
cat__Circuit_ID_109-4-34,1.2203568575739392e-09
cat__Substation_Glendale,1.2169750099738046e-09
cat__Connection_Date_2015-12-21 00:00:00,1.2040056515677127e-09
cat__Connection_Date_2015-07-16 00:00:00,1.199083623894091e-09
"cat__Developer_altPOWER, Inc.",1.1688856094536358e-09
cat__City_Pleasantville,1.1521182770275157e-09
cat__Developer_Agilitas,1.1363196348341033e-09
cat__Connection_Date_2019-03-30 00:00:00,1.1267760052511089e-09
cat__Connection_Date_2018-12-17 00:00:00,1.1162346550078151e-09
cat__Connection_Date_2015-12-24 00:00:00,1.075180607035256e-09
cat__County_Fulton,1.048579157321528e-09
cat__City_Hicksville,1.0478115830055789e-09
cat__County_Yates,1.0292065491989194e-09
cat__Circuit_ID_DAVID-MCINTYRE #21,1.0222484986034375e-09
cat__City_MALONE,1.022045369976265e-09
cat__Developer_Samantha Lennon (Green Street Power Partners),1.0202675707258075e-09
cat__Substation_BUCKLEY CORNERS 454,1.0118466565203167e-09
cat__Developer_American Capital Energy,9.75558423428901e-10
cat__Circuit_ID_MA NWK,9.527124115667126e-10
cat__Connection_Date_2019-12-27 00:00:00,9.502511383271587e-10
cat__Connection_Date_2019-03-29 00:00:00,9.437336416076926e-10
cat__City_Beaver Dams,9.371639264417242e-10
cat__Developer_Phoenix Solar,9.366568786462357e-10
cat__Circuit_ID_21-11-13,8.866330997148607e-10
cat__City_Westhampton Beach,8.76373372041462e-10
"cat__Developer_Borrego Solar Systems, Inc",8.666470356655238e-10
cat__Connection_Date_2015-11-02 00:00:00,8.571157491259088e-10
cat__Circuit_ID_4303801,8.552552379647281e-10
cat__Developer_AKF Engineers LLP,8.516853322472127e-10
cat__Substation_High Falls,8.44689145495103e-10
cat__Connection_Date_2017-05-09 00:00:00,8.279690118775224e-10
"cat__Developer_DG New York CS, LLC affiliate of NextEra",8.14579867292961e-10
cat__Circuit_ID_36_18_76258,8.051581093629673e-10
cat__Division_033 - Hudson,8.033655009920535e-10
cat__Circuit_ID_9AU798,7.941647917259971e-10
cat__Connection_Date_2023-05-17 00:00:00,7.865870679382841e-10
cat__Developer_GreenSpark Solar,7.84989982956377e-10
cat__Developer_Distributed Sun,7.716304930005572e-10
cat__City_Geneva,7.708114142453153e-10
cat__Connection_Date_2021-05-05 00:00:00,7.590200548873276e-10
cat__Connection_Date_2020-10-29 00:00:00,7.558194811481868e-10
cat__County_Bronx,7.484031395683793e-10
cat__Circuit_ID_4201002,7.4771538828719e-10
cat__Connection_Date_2019-08-22 00:00:00,7.462715318006923e-10
cat__Connection_Date_2015-11-16 00:00:00,7.386868971852651e-10
cat__Substation_Washington heights,7.382405906830181e-10
